,url_topic,topic_words
712,greenville-sc,greenville sc
713,greenville-tx,greenville tx
714,greenwood-in,greenwood in
715,greenwood-sc,greenwood sc
716,greer-sc,greer sc
717,gresham-or,gresham or
718,gretna-la,gretna la
719,griffin-ga,griffin ga
720,grove-city-oh,grove city oh
721,gulfport-ms,gulfport ms
722,gurnee-il,gurnee il
723,hackensack-nj,hackensack nj
724,hadley-ma,hadley ma
725,hagerstown-md,hagerstown md
726,haines-city-fl,haines city fl
727,hallandale-beach-fl,hallandale beach fl
728,haltom-city-tx,haltom city tx
729,hamilton-oh,hamilton oh
730,hammond-in,hammond in
731,hammond-la,hammond la
732,hampton-va,hampton va
733,hamtramck-mi,hamtramck mi
734,hanford-ca,hanford ca
735,hannibal-mo,hannibal mo
736,hanover-park-il,hanover park il
737,harker-heights-tx,harker heights tx
738,harlingen-tx,harlingen tx
739,harrisburg-pa,harrisburg pa
740,harrisonburg-va,harrisonburg va
741,harrison-ny,harrison ny
742,hartford-ct,hartford ct
743,harvey-il,harvey il
744,hastings-mn,hastings mn
745,hastings-ne,hastings ne
746,hattiesburg-ms,hattiesburg ms
747,havelock-nc,havelock nc
748,haverhill-ma,haverhill ma
749,hawthorne-ca,hawthorne ca
750,hawthorne-nj,hawthorne nj
751,hays-ks,hays ks
752,hayward-ca,hayward ca
753,hazel-park-mi,hazel park mi
754,hazelwood-mo,hazelwood mo
755,hazleton-pa,hazleton pa
756,helena-mt,helena mt
757,hemet-ca,hemet ca
758,hempstead-ny,hempstead ny
759,henderson-ky,henderson ky
760,henderson-nv,henderson nv
761,hendersonville-tn,hendersonville tn
762,hercules-ca,hercules ca
763,hermosa-beach-ca,hermosa beach ca
764,herndon-va,herndon va
765,herriman-ut,herriman ut
766,hesperia-ca,hesperia ca
767,hialeah-fl,hialeah fl
768,hialeah-gardens-fl,hialeah gardens fl
769,hickory-nc,hickory nc
770,highland-ca,highland ca
771,highland-in,highland in
772,highland-park-il,highland park il
773,highland-village-tx,highland village tx
774,high-point-nc,high point nc
775,hilliard-oh,hilliard oh
776,hillsboro-or,hillsboro or
777,hilton-head-island-sc,hilton head island sc
778,hinesville-ga,hinesville ga
779,hinsdale-il,hinsdale il
780,hobart-in,hobart in
781,hobbs-nm,hobbs nm
782,hoboken-nj,hoboken nj
783,hoffman-estates-il,hoffman estates il
784,holladay-ut,holladay ut
785,holland-mi,holland mi
786,hollister-ca,hollister ca
787,holly-springs-nc,holly springs nc
788,hollywood-fl,hollywood fl
789,holyoke-ma,holyoke ma
790,homer-glen-il,homer glen il
791,homestead-fl,homestead fl
792,homewood-al,homewood al
793,homewood-il,homewood il
794,honolulu-hi,honolulu hi
795,hoover-al,hoover al
796,hopewell-va,hopewell va
797,hopkins-mn,hopkins mn
798,hopkinsville-ky,hopkinsville ky
799,horn-lake-ms,horn lake ms
800,hot-springs-ar,hot springs ar
801,houma-la,houma la
802,houston-tx,houston tx
803,howard-wi,howard wi
804,huber-heights-oh,huber heights oh
805,hudson-oh,hudson oh
806,huntersville-nc,huntersville nc
807,huntington-beach-ca,huntington beach ca
808,huntington-in,huntington in
809,huntington-park-ca,huntington park ca
810,huntington-wv,huntington wv
811,huntley-il,huntley il
812,huntsville-al,huntsville al
813,huntsville-tx,huntsville tx
814,hurst-tx,hurst tx
815,hutchinson-ks,hutchinson ks
816,idaho-falls-id,idaho falls id
817,imperial-beach-ca,imperial beach ca
818,independence-ky,independence ky
819,independence-mo,independence mo
820,indianapolis-in,indianapolis in
821,indian-trail-nc,indian trail nc
822,indio-ca,indio ca
823,inglewood-ca,inglewood ca
824,inkster-mi,inkster mi
825,inver-grove-heights-mn,inver grove heights mn
826,iowa-city-ia,iowa city ia
827,irvine-ca,irvine ca
828,irving-tx,irving tx
829,issaquah-wa,issaquah wa
830,ithaca-ny,ithaca ny
831,jackson-mi,jackson mi
832,jackson-ms,jackson ms
833,jackson-tn,jackson tn
834,jacksonville-ar,jacksonville ar
835,jacksonville-beach-fl,jacksonville beach fl
836,jacksonville-fl,jacksonville fl
837,jacksonville-il,jacksonville il
838,jacksonville-nc,jacksonville nc
839,jamestown-ny,jamestown ny
840,janesville-wi,janesville wi
841,jefferson-city-mo,jefferson city mo
842,jeffersontown-ky,jeffersontown ky
843,jeffersonville-in,jeffersonville in
844,jersey-city-nj,jersey city nj
845,johns-creek-ga,johns creek ga
846,johnson-city-tn,johnson city tn
847,johnstown-pa,johnstown pa
848,joliet-il,joliet il
849,jonesboro-ar,jonesboro ar
850,joplin-mo,joplin mo
851,junction-city-ks,junction city ks
852,juneau-ak,juneau ak
853,jupiter-fl,jupiter fl
854,kalamazoo-mi,kalamazoo mi
855,kalispell-mt,kalispell mt
856,kankakee-il,kankakee il
857,kannapolis-nc,kannapolis nc
858,kansas-city-ks,kansas city ks
859,kansas-city-mo,kansas city mo
860,kaysville-ut,kaysville ut
861,kearney-ne,kearney ne
862,kearny-nj,kearny nj
863,keene-nh,keene nh
864,keizer-or,keizer or
865,keller-tx,keller tx
866,kenmore-wa,kenmore wa
867,kenner-la,kenner la
868,kennesaw-ga,kennesaw ga
869,kennewick-wa,kennewick wa
870,kenosha-wi,kenosha wi
871,kent-oh,kent oh
872,kent-wa,kent wa
873,kentwood-mi,kentwood mi
874,kernersville-nc,kernersville nc
875,kerrville-tx,kerrville tx
876,kettering-oh,kettering oh
877,key-west-fl,key west fl
878,killeen-tx,killeen tx
879,kingman-az,kingman az
880,kingsport-tn,kingsport tn
881,kingston-ny,kingston ny
882,kingsville-tx,kingsville tx
883,kinston-nc,kinston nc
884,kirkland-wa,kirkland wa
885,kirksville-mo,kirksville mo
886,kirkwood-mo,kirkwood mo
887,kiryas-joel-ny,kiryas joel ny
888,kissimmee-fl,kissimmee fl
889,klamath-falls-or,klamath falls or
890,knoxville-tn,knoxville tn
891,kokomo-in,kokomo in
892,kyle-tx,kyle tx
893,la-caada-flintridge-ca,la caada flintridge ca
894,lacey-wa,lacey wa
895,lackawanna-ny,lackawanna ny
896,laconia-nh,laconia nh
897,lacrosse-wi,lacrosse wi
898,la-crosse-wi,la crosse wi
899,lafayette-ca,lafayette ca
900,lafayette-co,lafayette co
901,lafayette-in,lafayette in
902,lafayette-la,lafayette la
903,lagrange-ga,lagrange ga
904,laguna-beach-ca,laguna beach ca
905,laguna-hills-ca,laguna hills ca
906,laguna-niguel-ca,laguna niguel ca
907,laguna-woods-ca,laguna woods ca
908,la-habra-ca,la habra ca
909,lake-charles-la,lake charles la
910,lake-elsinore-ca,lake elsinore ca
911,lake-forest-ca,lake forest ca
912,lake-forest-il,lake forest il
913,lake-havasu-city-az,lake havasu city az
914,lake-in-the-hills-il,lake in the hills il
915,lake-jackson-tx,lake jackson tx
916,lakeland-fl,lakeland fl
917,lake-oswego-or,lake oswego or
918,lakeville-mn,lakeville mn
919,lakewood-ca,lakewood ca
920,lakewood-co,lakewood co
921,lakewood-oh,lakewood oh
922,lakewood-wa,lakewood wa
923,lake-worth-fl,lake worth fl
924,lake-zurich-il,lake zurich il
925,la-mesa-ca,la mesa ca
926,la-mirada-ca,la mirada ca
927,lancaster-ca,lancaster ca
928,lancaster-oh,lancaster oh
929,lancaster-pa,lancaster pa
930,lancaster-tx,lancaster tx
931,lansing-il,lansing il
932,lansing-mi,lansing mi
933,la-porte-in,la porte in
934,la-porte-tx,la porte tx
935,la-puente-ca,la puente ca
936,la-quinta-ca,la quinta ca
937,laramie-wy,laramie wy
938,laredo-tx,laredo tx
939,largo-fl,largo fl
940,las-cruces-nm,las cruces nm
941,las-vegas-nv,las vegas nv
942,lathrop-ca,lathrop ca
943,lauderdale-lakes-fl,lauderdale lakes fl
944,lauderhill-fl,lauderhill fl
945,laurel-md,laurel md
946,laurel-ms,laurel ms
947,la-vergne-tn,la vergne tn
948,la-verne-ca,la verne ca
949,la-vista-ne,la vista ne
950,lawndale-ca,lawndale ca
951,lawrence-in,lawrence in
952,lawrence-ks,lawrence ks
953,lawrence-ma,lawrence ma
954,lawrenceville-ga,lawrenceville ga
955,lawton-ok,lawton ok
956,layton-ut,layton ut
957,league-city-tx,league city tx
958,leander-tx,leander tx
959,leavenworth-ks,leavenworth ks
960,leawood-ks,leawood ks
961,lebanon-oh,lebanon oh
962,lebanon-pa,lebanon pa
963,lebanon-tn,lebanon tn
964,leesburg-fl,leesburg fl
965,leesburg-va,leesburg va
966,lees-summit-mo,lees summit mo
967,lehi-ut,lehi ut
968,lemon-grove-ca,lemon grove ca
969,lemoore-ca,lemoore ca
970,lenexa-ks,lenexa ks
971,lenoir-nc,lenoir nc
972,leominster-ma,leominster ma
973,lewiston-id,lewiston id
974,lewiston-me,lewiston me
975,lewisville-tx,lewisville tx
976,lexington-ky,lexington ky
977,lexington-nc,lexington nc
978,liberal-ks,liberal ks
979,liberty-mo,liberty mo
980,libertyville-il,libertyville il
981,lima-oh,lima oh
982,lincoln-ca,lincoln ca
983,lincoln-ne,lincoln ne
984,lincoln-park-mi,lincoln park mi
985,lindenhurst-ny,lindenhurst ny
986,linden-nj,linden nj
987,lindenwold-nj,lindenwold nj
988,lino-lakes-mn,lino lakes mn
989,lisle-il,lisle il
990,little-elm-tx,little elm tx
991,little-rock-ar,little rock ar
992,littleton-co,littleton co
993,livermore-ca,livermore ca
994,livonia-mi,livonia mi
995,lockport-il,lockport il
996,lockport-ny,lockport ny
997,lodi-ca,lodi ca
998,lodi-nj,lodi nj
999,logansport-in,logansport in
1000,logan-ut,logan ut
1001,loma-linda-ca,loma linda ca
1002,lombard-il,lombard il
1003,lomita-ca,lomita ca
1004,lompoc-ca,lompoc ca
1005,long-beach-ca,long beach ca
1006,long-beach-ny,long beach ny
1007,long-branch-nj,long branch nj
1008,longmont-co,longmont co
1009,longview-tx,longview tx
1010,longview-wa,longview wa
1011,lorain-oh,lorain oh
1012,los-altos-ca,los altos ca
1013,los-angeles-ca,los angeles ca
1014,los-gatos-ca,los gatos ca
1015,louisville-co,louisville co
1016,louisville-ky,louisville ky
1017,loveland-co,loveland co
1018,loves-park-il,loves park il
1019,lowell-ma,lowell ma
1020,lubbock-tx,lubbock tx
1021,lufkin-tx,lufkin tx
1022,lumberton-nc,lumberton nc
1023,lynbrook-ny,lynbrook ny
1024,lynchburg-va,lynchburg va
1025,lynn-ma,lynn ma
1026,lynnwood-wa,lynnwood wa
1027,lynwood-ca,lynwood ca
1028,machesney-park-il,machesney park il
1029,macomb-il,macomb il
1030,macon-ga,macon ga
1031,madera-ca,madera ca
1032,madison-al,madison al
1033,madison-heights-mi,madison heights mi
1034,madison-ms,madison ms
1035,madisonville-ky,madisonville ky
1036,madison-wi,madison wi
1037,malden-ma,malden ma
1038,mamaroneck-ny,mamaroneck ny
1039,manassas-va,manassas va
1040,manchester-mo,manchester mo
1041,manchester-nh,manchester nh
1042,mandan-nd,mandan nd
1043,manhattan-beach-ca,manhattan beach ca
1044,manhattan-ks,manhattan ks
1045,manhattan-ny,manhattan ny
1046,manitowoc-wi,manitowoc wi
1047,mankato-mn,mankato mn
1048,mansfield-oh,mansfield oh
1049,mansfield-tx,mansfield tx
1050,manteca-ca,manteca ca
1051,maple-grove-mn,maple grove mn
1052,maple-heights-oh,maple heights oh
1053,maple-valley-wa,maple valley wa
1054,maplewood-mn,maplewood mn
1055,marana-az,marana az
1056,margate-fl,margate fl
1057,maricopa-az,maricopa az
1058,marietta-ga,marietta ga
1059,marina-ca,marina ca
1060,marion-ia,marion ia
1061,marion-il,marion il
1062,marion-in,marion in
1063,marion-oh,marion oh
1064,marlborough-ma,marlborough ma
1065,marquette-mi,marquette mi
1066,marshalltown-ia,marshalltown ia
1067,marshall-tx,marshall tx
1068,marshfield-wi,marshfield wi
1069,martinez-ca,martinez ca
1070,martinsburg-wv,martinsburg wv
1071,maryland-heights-mo,maryland heights mo
1072,marysville-oh,marysville oh
1073,marysville-wa,marysville wa
1074,maryville-tn,maryville tn
1075,mason-city-ia,mason city ia
1076,mason-oh,mason oh
1077,massapequa-park-ny,massapequa park ny
1078,massillon-oh,massillon oh
1079,matteson-il,matteson il
1080,matthews-nc,matthews nc
1081,mattoon-il,mattoon il
1082,mauldin-sc,mauldin sc
1083,mayfield-heights-oh,mayfield heights oh
1084,maywood-ca,maywood ca
1085,maywood-il,maywood il
1086,mcalester-ok,mcalester ok
1087,mcallen-tx,mcallen tx
1088,mcdonough-ga,mcdonough ga
1089,mchenry-il,mchenry il
1090,mckeesport-pa,mckeesport pa
1091,mckinney-tx,mckinney tx
1092,mcminnville-or,mcminnville or
1093,medford-ma,medford ma
1094,medford-or,medford or
1095,medina-oh,medina oh
1096,melbourne-fl,melbourne fl
1097,melrose-ma,melrose ma
1098,melrose-park-il,melrose park il
1099,memphis-tn,memphis tn
1100,menasha-wi,menasha wi
1101,menifee-ca,menifee ca
1102,menlo-park-ca,menlo park ca
1103,menomonee-falls-wi,menomonee falls wi
1104,mentor-oh,mentor oh
1105,mequon-wi,mequon wi
1106,merced-ca,merced ca
1107,mercer-island-wa,mercer island wa
1108,meriden-ct,meriden ct
1109,meridian-id,meridian id
1110,meridian-ms,meridian ms
1111,merrillville-in,merrillville in
1112,mesa-az,mesa az
1113,mesquite-nv,mesquite nv
1114,mesquite-tx,mesquite tx
1115,methuen-ma,methuen ma
1116,miami-beach-fl,miami beach fl
1117,miami-fl,miami fl
1118,miami-gardens-fl,miami gardens fl
1119,miami-lakes-fl,miami lakes fl
1120,miamisburg-oh,miamisburg oh
1121,michigan-city-in,michigan city in
1122,middleton-wi,middleton wi
1123,middletown-ct,middletown ct
1124,middletown-ny,middletown ny
1125,middletown-oh,middletown oh
1126,midland-mi,midland mi
1127,midland-tx,midland tx
1128,midlothian-tx,midlothian tx
1129,midvale-ut,midvale ut
1130,midwest-city-ok,midwest city ok
1131,milford-ct,milford ct
1132,millbrae-ca,millbrae ca
1133,millbrook-al,millbrook al
1134,mill-creek-wa,mill creek wa
1135,milledgeville-ga,milledgeville ga
1136,millville-nj,millville nj
1137,milpitas-ca,milpitas ca
1138,milwaukee-wi,milwaukee wi
1139,milwaukie-or,milwaukie or
1140,mineola-ny,mineola ny
1141,mineral-wells-tx,mineral wells tx
1142,minneapolis-mn,minneapolis mn
1143,minnetonka-mn,minnetonka mn
1144,minot-nd,minot nd
1145,mint-hill-nc,mint hill nc
1146,miramar-fl,miramar fl
1147,mishawaka-in,mishawaka in
1148,mission-tx,mission tx
1149,mission-viejo-ca,mission viejo ca
1150,missoula-mt,missoula mt
1151,missouri-city-tx,missouri city tx
1152,mobile-al,mobile al
1153,modesto-ca,modesto ca
1154,mokena-il,mokena il
1155,moline-il,moline il
1156,monroe-la,monroe la
1157,monroe-mi,monroe mi
1158,monroe-nc,monroe nc
1159,monroeville-pa,monroeville pa
1160,monroe-wa,monroe wa
1161,monrovia-ca,monrovia ca
1162,montclair-ca,montclair ca
1163,montebello-ca,montebello ca
1164,monterey-ca,monterey ca
1165,monterey-park-ca,monterey park ca
1166,montgomery-al,montgomery al
1167,montrose-co,montrose co
1168,moore-ok,moore ok
1169,mooresville-nc,mooresville nc
1170,moorhead-mn,moorhead mn
1171,moorpark-ca,moorpark ca
1172,moraga-ca,moraga ca
1173,moreno-valley-ca,moreno valley ca
1174,morgan-hill-ca,morgan hill ca
1175,morganton-nc,morganton nc
1176,morgantown-wv,morgantown wv
1177,morristown-nj,morristown nj
1178,morristown-tn,morristown tn
1179,morton-grove-il,morton grove il
1180,moscow-id,moscow id
1181,moses-lake-wa,moses lake wa
1182,mountain-brook-al,mountain brook al
1183,mountain-view-ca,mountain view ca
1184,mount-juliet-tn,mount juliet tn
1185,mountlake-terrace-wa,mountlake terrace wa
1186,mount-pleasant-mi,mount pleasant mi
1187,mount-pleasant-sc,mount pleasant sc
1188,mount-pleasant-wi,mount pleasant wi
1189,mount-prospect-il,mount prospect il
1190,mount-vernon-ny,mount vernon ny
1191,mount-vernon-wa,mount vernon wa
1192,mukilteo-wa,mukilteo wa
1193,muncie-in,muncie in
1194,mundelein-il,mundelein il
1195,munster-in,munster in
1196,murfreesboro-tn,murfreesboro tn
1197,murray-ut,murray ut
1198,murrieta-ca,murrieta ca
1199,murrysville-pa,murrysville pa
1200,muscatine-ia,muscatine ia
1201,muskegon-mi,muskegon mi
1202,muskego-wi,muskego wi
1203,muskogee-ok,muskogee ok
1204,mustang-ok,mustang ok
1205,myrtle-beach-sc,myrtle beach sc
1206,nacogdoches-tx,nacogdoches tx
1207,nampa-id,nampa id
1208,napa-ca,napa ca
1209,naperville-il,naperville il
1210,naples-fl,naples fl
1211,nashua-nh,nashua nh
1212,nashville-tn,nashville tn
1213,natchitoches-la,natchitoches la
1214,national-city-ca,national city ca
1215,naugatuck-ct,naugatuck ct
1216,neenah-wi,neenah wi
1217,new-albany-in,new albany in
1218,newark-ca,newark ca
1219,newark-de,newark de
1220,newark-nj,newark nj
1221,newark-oh,newark oh
1222,new-bedford-ma,new bedford ma
1223,newberg-or,newberg or
1224,new-berlin-wi,new berlin wi
1225,new-bern-nc,new bern nc
1226,new-braunfels-tx,new braunfels tx
1227,new-brighton-mn,new brighton mn
1228,new-britain-ct,new britain ct
1229,new-brunswick-nj,new brunswick nj
1230,newburgh-ny,newburgh ny
1231,newburyport-ma,newburyport ma
1232,new-castle-in,new castle in
1233,new-castle-pa,new castle pa
1234,new-haven-ct,new haven ct
1235,new-hope-mn,new hope mn
1236,new-iberia-la,new iberia la
1237,new-lenox-il,new lenox il
1238,new-london-ct,new london ct
1239,newnan-ga,newnan ga
1240,new-orleans-la,new orleans la
1241,new-philadelphia-oh,new philadelphia oh
1242,newport-beach-ca,newport beach ca
1243,newport-news-va,newport news va
1244,newport-ri,newport ri
1245,new-port-richey-fl,new port richey fl
1246,new-rochelle-ny,new rochelle ny
1247,new-smyrna-beach-fl,new smyrna beach fl
1248,newton-ks,newton ks
1249,newton-ma,newton ma
1250,new-york-ny,new york ny
1251,niagara-falls-ny,niagara falls ny
1252,nicholasville-ky,nicholasville ky
1253,niles-il,niles il
1254,niles-oh,niles oh
1255,nixa-mo,nixa mo
1256,noblesville-in,noblesville in
1257,nogales-az,nogales az
1258,norco-ca,norco ca
1259,norfolk-ne,norfolk ne
1260,norfolk-va,norfolk va
1261,normal-il,normal il
1262,norman-ok,norman ok
1263,norristown-pa,norristown pa
1264,northampton-ma,northampton ma
1265,north-augusta-sc,north augusta sc
1266,northbrook-il,northbrook il
1267,north-canton-oh,north canton oh
1268,north-charleston-sc,north charleston sc
1269,north-chicago-il,north chicago il
1270,northfield-mn,northfield mn
1271,northglenn-co,northglenn co
1272,north-las-vegas-nv,north las vegas nv
1273,north-lauderdale-fl,north lauderdale fl
1274,north-little-rock-ar,north little rock ar
1275,north-miami-beach-fl,north miami beach fl
1276,north-miami-fl,north miami fl
1277,north-ogden-ut,north ogden ut
1278,north-olmsted-oh,north olmsted oh
1279,north-plainfield-nj,north plainfield nj
1280,north-platte-ne,north platte ne
1281,northport-al,northport al
1282,north-port-fl,north port fl
1283,north-richland-hills-tx,north richland hills tx
1284,north-ridgeville-oh,north ridgeville oh
1285,north-royalton-oh,north royalton oh
1286,north-tonawanda-ny,north tonawanda ny
1287,norton-shores-mi,norton shores mi
1288,norwalk-ca,norwalk ca
1289,norwalk-ct,norwalk ct
1290,norwalk-oh,norwalk oh
1291,norwich-ct,norwich ct
1292,norwood-oh,norwood oh
1293,novato-ca,novato ca
1294,novi-mi,novi mi
1295,oak-creek-wi,oak creek wi
1296,oakdale-ca,oakdale ca
1297,oakdale-mn,oakdale mn
1298,oak-forest-il,oak forest il
1299,oak-harbor-wa,oak harbor wa
1300,oakland-ca,oakland ca
1301,oakland-park-fl,oakland park fl
1302,oak-lawn-il,oak lawn il
1303,oakley-ca,oakley ca
1304,oak-park-il,oak park il
1305,oak-park-mi,oak park mi
1306,oak-ridge-tn,oak ridge tn
1307,ocala-fl,ocala fl
1308,oceanside-ca,oceanside ca
1309,ocean-springs-ms,ocean springs ms
1310,ocoee-fl,ocoee fl
1311,odessa-tx,odessa tx
1312,ofallon-il,ofallon il
1313,ofallon-mo,ofallon mo
1314,ogden-ut,ogden ut
1315,oklahoma-city-ok,oklahoma city ok
1316,olathe-ks,olathe ks
1317,olive-branch-ms,olive branch ms
1318,olympia-wa,olympia wa
1319,omaha-ne,omaha ne
1320,onalaska-wi,onalaska wi
1321,ontario-ca,ontario ca
1322,opelika-al,opelika al
1323,opelousas-la,opelousas la
1324,orange-ca,orange ca
1325,orange-tx,orange tx
1326,oregon-city-or,oregon city or
1327,oregon-oh,oregon oh
1328,orem-ut,orem ut
1329,orinda-ca,orinda ca
1330,orlando-fl,orlando fl
1331,orland-park-il,orland park il
1332,ormond-beach-fl,ormond beach fl
1333,oro-valley-az,oro valley az
1334,oshkosh-wi,oshkosh wi
1335,ossining-ny,ossining ny
1336,oswego-il,oswego il
1337,oswego-ny,oswego ny
1338,ottawa-il,ottawa il
1339,ottumwa-ia,ottumwa ia
1340,overland-park-ks,overland park ks
1341,oviedo-fl,oviedo fl
1342,owasso-ok,owasso ok
1343,owatonna-mn,owatonna mn
1344,owensboro-ky,owensboro ky
1345,oxford-al,oxford al
1346,oxford-ms,oxford ms
1347,oxford-oh,oxford oh
1348,oxnard-ca,oxnard ca
1349,ozark-mo,ozark mo
1350,pacifica-ca,pacifica ca
1351,paducah-ky,paducah ky
1352,painesville-oh,painesville oh
1353,palatine-il,palatine il
1354,palestine-tx,palestine tx
1355,palisades-park-nj,palisades park nj
1356,palm-bay-fl,palm bay fl
1357,palm-beach-gardens-fl,palm beach gardens fl
1358,palm-coast-fl,palm coast fl
1359,palmdale-ca,palmdale ca
1360,palm-desert-ca,palm desert ca
1361,palmetto-bay-fl,palmetto bay fl
1362,palm-springs-ca,palm springs ca
1363,palm-springs-fl,palm springs fl
1364,palo-alto-ca,palo alto ca
1365,palos-hills-il,palos hills il
1366,pampa-tx,pampa tx
1367,panama-city-fl,panama city fl
1368,papillion-ne,papillion ne
1369,paradise-ca,paradise ca
1370,paragould-ar,paragould ar
1371,paramount-ca,paramount ca
1372,paramus-nj,paramus nj
1373,paris-tx,paris tx
1374,parker-co,parker co
1375,parkersburg-wv,parkersburg wv
1376,park-forest-il,park forest il
1377,parkland-fl,parkland fl
1378,park-ridge-il,park ridge il
1379,parma-heights-oh,parma heights oh
1380,parma-oh,parma oh
1381,pasadena-ca,pasadena ca
1382,pasadena-tx,pasadena tx
1383,pascagoula-ms,pascagoula ms
1384,pasco-wa,pasco wa
1385,paso-robles-ca,paso robles ca
1386,passaic-nj,passaic nj
1387,paterson-nj,paterson nj
1388,patterson-ca,patterson ca
1389,pawtucket-ri,pawtucket ri
1390,payson-ut,payson ut
1391,peabody-ma,peabody ma
1392,peachtree-city-ga,peachtree city ga
1393,pearland-tx,pearland tx
1394,pearl-ms,pearl ms
1395,peekskill-ny,peekskill ny
1396,pekin-il,pekin il
1397,pelham-al,pelham al
1398,pembroke-pines-fl,pembroke pines fl
1399,pensacola-fl,pensacola fl
1400,peoria-az,peoria az
1401,peoria-il,peoria il
1402,perris-ca,perris ca
1403,perrysburg-oh,perrysburg oh
